4091120 zhining   20   0   14.1g   3.8g   3.2g S 476.5   6.1  13:19.94 db_bench
4091120 zhining   20   0   14.1g   3.8g   3.2g S 523.5   6.1  13:25.41 db_bench
4091120 zhining   20   0   14.1g   3.8g   3.2g S 452.9   6.1  13:31.03 db_bench
4091120 zhining   20   0   14.1g   3.8g   3.2g S 352.9   6.1  13:37.08 db_bench
4091120 zhining   20   0   14.0g   3.7g   3.1g S 441.2   6.0  13:40.46 db_bench
4091120 zhining   20   0   14.0g   3.7g   3.1g S 341.2   6.0  13:45.72 db_bench
4091120 zhining   20   0   14.0g   3.7g   3.1g S 300.0   6.0  13:48.98 db_bench
4091120 zhining   20   0   14.0g   3.7g   3.1g S 458.8   6.0  13:54.38 db_bench
4091120 zhining   20   0   14.0g   3.7g   3.1g S 270.6   6.0  13:58.09 db_bench
4091120 zhining   20   0   14.0g   3.7g   3.1g S 258.8   6.0  14:01.37 db_bench
4091120 zhining   20   0   14.0g   3.7g   3.1g S 305.9   6.0  14:04.70 db_bench
4091120 zhining   20   0   13.3g   2.7g   2.1g S 494.1   4.4  14:09.02 db_bench
4091120 zhining   20   0   13.3g   3.0g   2.4g S  52.9   4.8  14:11.69 db_bench
4091120 zhining   20   0   13.5g   3.2g   2.6g S 176.5   5.1  14:15.59 db_bench
4091120 zhining   20   0   14.0g   3.7g   3.1g S 482.4   5.9  14:21.24 db_bench
4091120 zhining   20   0   14.0g   3.7g   3.1g S 147.1   5.9  14:24.54 db_bench
4091120 zhining   20   0   14.5g   4.2g   3.6g S 464.7   6.8  14:28.97 db_bench
4091120 zhining   20   0   14.5g   4.2g   3.6g S 281.2   6.8  14:33.94 db_bench
4091120 zhining   20   0   14.0g   3.3g   2.7g S 547.1   5.3  14:40.06 db_bench
4091120 zhining   20   0   14.1g   3.8g   3.2g S 388.2   6.0  14:44.34 db_bench
4091120 zhining   20   0   14.3g   4.0g   3.4g S 317.6   6.5  14:46.85 db_bench
4091120 zhining   20   0   14.3g   3.9g   3.3g S 405.9   6.2  14:49.98 db_bench
4091120 zhining   20   0   14.3g   4.1g   3.5g S 564.7   6.6  14:55.52 db_bench
4091120 zhining   20   0   14.6g   4.4g   3.8g S 505.9   7.1  14:59.43 db_bench
4091120 zhining   20   0   14.7g   4.5g   3.9g S 352.9   7.3  15:03.74 db_bench
4091120 zhining   20   0   14.7g   4.6g   4.0g S 229.4   7.4  15:08.03 db_bench
4091120 zhining   20   0   14.7g   4.7g   4.1g S 200.0   7.5  15:10.72 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 276.5   7.7  15:14.43 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 283.3   7.7  15:18.08 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 252.9   7.7  15:22.68 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 282.4   7.7  15:26.44 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 429.4   7.7  15:31.21 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 388.2   7.7  15:36.07 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 388.2   7.7  15:40.48 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 188.2   7.7  15:43.46 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 235.3   7.7  15:45.98 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 282.4   7.7  15:49.12 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 188.2   7.7  15:52.14 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 282.4   7.7  15:54.77 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 294.1   7.7  15:58.25 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 275.0   7.7  16:01.81 db_bench
4091120 zhining   20   0   14.7g   4.8g   4.2g S 123.5   7.7  16:04.46 db_bench
4091120 zhining   20   0   13.7g   3.5g   2.9g S 335.3   5.6  16:06.10 db_bench
4091120 zhining   20   0   13.1g   3.2g   2.6g S 317.6   5.1  16:11.29 db_bench
4091120 zhining   20   0   13.9g   4.0g   3.4g S 435.3   6.4  16:15.85 db_bench
4091120 zhining   20   0   14.1g   4.2g   3.6g S 635.3   6.7  16:20.21 db_bench
4091120 zhining   20   0   14.0g   4.0g   3.4g S 582.4   6.4  16:24.40 db_bench
4091120 zhining   20   0   14.3g   4.4g   3.8g S 216.7   7.0  16:28.26 db_bench
4091120 zhining   20   0   14.3g   4.4g   3.8g S 523.5   7.0  16:33.62 db_bench
4091120 zhining   20   0   14.2g   4.0g   3.4g S 494.1   6.4  16:38.92 db_bench
4091120 zhining   20   0   14.6g   4.7g   4.1g S 358.8   7.5  16:43.69 db_bench
4091120 zhining   20   0   14.8g   4.9g   4.3g S 364.7   7.8  16:48.20 db_bench
4091120 zhining   20   0   14.8g   5.0g   4.4g S 458.8   8.0  16:52.46 db_bench
4091120 zhining   20   0   14.8g   5.0g   4.4g S 276.5   8.0  16:57.40 db_bench
4091120 zhining   20   0   14.8g   5.0g   4.4g S 600.0   8.0  17:00.97 db_bench
4091120 zhining   20   0   14.8g   5.0g   4.4g S 488.2   8.0  17:07.04 db_bench
4091120 zhining   20   0   14.8g   5.0g   4.4g S 555.6   8.0  17:13.89 db_bench
4091120 zhining   20   0   15.1g   4.9g   4.3g S 341.2   7.8  17:19.48 db_bench
4091120 zhining   20   0   15.1g   5.3g   4.7g S 435.3   8.4  17:24.92 db_bench
4091120 zhining   20   0   15.1g   5.3g   4.7g S 458.8   8.4  17:30.75 db_bench
4091120 zhining   20   0   15.0g   5.1g   4.5g S 294.1   8.2  17:34.65 db_bench
4091120 zhining   20   0   15.0g   5.2g   4.6g S 335.3   8.4  17:37.77 db_bench
4091120 zhining   20   0   15.0g   5.2g   4.6g S 311.8   8.4  17:41.27 db_bench
4091120 zhining   20   0   15.0g   5.2g   4.6g S 423.5   8.4  17:45.54 db_bench
4091120 zhining   20   0   15.0g   5.2g   4.6g S 437.5   8.4  17:50.84 db_bench
4091120 zhining   20   0   15.0g   5.3g   4.6g S 247.1   8.4  17:55.37 db_bench
4091120 zhining   20   0   15.1g   5.3g   4.6g S 244.4   8.5  17:58.81 db_bench
4091120 zhining   20   0   14.7g   4.6g   4.0g S 347.1   7.4  18:02.53 db_bench
4091120 zhining   20   0   13.6g   3.8g   3.2g S 364.7   6.1  18:07.06 db_bench
4091120 zhining   20   0   13.4g   3.6g   3.0g S 335.3   5.8  18:10.15 db_bench
4091120 zhining   20   0   13.9g   4.1g   3.4g S 300.0   6.5  18:16.01 db_bench
4091120 zhining   20   0   13.9g   4.1g   3.4g S 237.5   6.5  18:18.81 db_bench
4091120 zhining   20   0   13.5g   3.8g   3.1g S 277.8   6.0  18:24.21 db_bench
4091120 zhining   20   0   14.0g   4.2g   3.5g S 394.1   6.7  18:29.05 db_bench
4091120 zhining   20   0   14.0g   4.2g   3.5g S 341.2   6.7  18:33.82 db_bench
4091120 zhining   20   0   14.0g   4.2g   3.5g S 205.9   6.7  18:37.22 db_bench
